41.03057	1
41.19565	0.97479
41.36076	0.89916
41.52591	0.80252
41.6911	0.68067
41.85633	0.53571
42.02159	0.37605
42.18688	0.2437
42.3522	0.13445
42.51755	0.06092
42.68293	0.01471
42.84833	0.0063
43.01375	0.02311
43.1792	0.05042
43.34467	0.08403
43.51015	0.12185
43.67565	0.15546
43.84116	0.18908
44.00669	0.22059
44.17222	0.2605
44.33777	0.28992
44.50332	0.32563
44.66888	0.35504
44.83444	0.36555
45	0.39916
45.16556	0.42017
45.33112	0.42857
45.49668	0.46218
45.66223	0.47059
45.82778	0.47479
45.99331	0.4916
46.15884	0.5
46.32435	0.51261
46.48985	0.54832
46.65533	0.56933
